indicator,id,year,stage
"[0.0008969660163629869, 0.12437245056122968, 0.35207413450997016, 0.02276840206364821, 0.05752137190795868, 0.15748938715772057, 0.14774560779183338, 0.0, 0.35527732410651847]",1,1974,0
"[0.00044848300818149347, 0.18655867584184452, 0.2836152750219204, 0.06261310567503257, 0.10906649738392166, 0.16401597437326573, 0.07821826294861768, 0.0022646265206138073, 0.13228411003966112]",2,1977,0
"[0.0008328970151942022, 0.20090934321429413, 0.25277117349433753, 0.042909680812260084, 0.08447194475993933, 0.2111645642915854, 0.08891477753988163, 0.02264340035358077, 0.13635439034857377]",3,1978,0
"[0.0007047590128566325, 0.15829220980520142, 0.18048244774122205, 0.1666233060112437, 0.18539946317441228, 0.1310992736339944, 0.069132303111152, 0.005984269966248864, 0.09139629420922042]",4,1979,0
"[0.0010251040187005567, 0.19044531492188296, 0.15831111256611505, 0.10459234697988395, 0.7418949672219671, 0.1959040282144348, 0.1387830984956376, 0.01953966299622966, 0.15874093204759335]",5,1980,0
"[0.0019220700350635435, 0.23216190771429543, 0.16430126277131937, 0.0703923097134457, 0.1370054494535016, 0.36191344933505726, 0.09226858055235085, 0.06327256082323335, 0.10759107616559105]",6,1981,0
"[0.003011243054932885, 0.13892667349924595, 0.17333200593782808, 0.034758145703548064, 0.0460616014891584, 0.30522209999507016, 0.0504812902718029, 0.0031780069373243884, 0.08274793266310718]",7,1982,0
"[0.005445865099346707, 0.15363655657563668, 0.1844362214442752, 0.08109569087964111, 0.1459258761130246, 0.16923724414570188, 0.12346216014438671, 0.04061132530551582, 0.2219260481371256]",8,1983,0
"[0.005061451092333998, 0.0991830934855376, 0.16464788990796775, 0.052958150369561495, 0.14059308852992433, 0.16252890386845795, 0.08971447740449749, 0.0040812751761002694, 0.10783666691840728]",9,1984,0
"[0.007688280140254174, 0.11608095385714771, 0.19111431607080553, 0.07902532882924566, 0.11112083209492019, 0.16897239712825946, 0.0991126785603549, 0.034981426518979224, 0.14132352422570463]",10,1985,0
"[0.012813800233756957, 0.1197084836651836, 0.18073138904845135, 0.08546688924641946, 0.11007498896932094, 0.16226514641153034, 0.11041811452913194, 0.05684307167380077, 0.15966692081787096]",11,1986,0
"[0.017298630315571894, 0.10318307009524241, 0.17114714872012438, 0.07172046650049185, 0.10129184346081613, 0.17285682005074818, 0.08224183614556303, 0.026742638009984186, 0.11680196975353781]",12,1987,0
"[0.020694287377517485, 0.08759979102996827, 0.1710411752534246, 0.08153978045549556, 0.09875608461540895, 0.17950970059931964, 0.09671673414819615, 0.04934409479253131, 0.1474373981866192]",13,1988,0
"[0.020566149375179917, 0.12882816140688122, 0.1569648616299209, 0.08304083089101602, 0.12194986975445446, 0.1798979553992016, 0.08793801248082735, 0.060554462814528885, 0.14415259094041577]",14,1989,0
"[0.024986910455826065, 0.11050013876786176, 0.1469232445935837, 0.08173272535668587, 0.1319907657487052, 0.16991973453680348, 0.09047468591777429, 0.04716243381075488, 0.1280781537204514]",15,1990,0
"[0.03607084765802584, 0.08195768944620999, 0.1490773743025737, 0.06744583044697922, 0.13021954370249972, 0.14826728766873837, 0.08012470768399449, 0.03675604060626528, 0.09562989837680652]",16,1991,1
"[0.052024028949053246, 0.07612451715385611, 0.1418076375109602, 0.055399840366075065, 0.11875213815301816, 0.1492699969612319, 0.08466152981986395, 0.029497676259594444, 0.0960526000977638]",17,1992,1
"[0.056957342039049674, 0.0665931231351466, 0.13560860692739662, 0.06794664867813127, 0.1540295167994484, 0.15567731518517444, 0.10442788211687715, 0.03989195253371835, 0.12814744158172797]",18,1993,1
"[0.06445341517579749, 0.07269483193837283, 0.13650941563919264, 0.08380854159213649, 0.14369427119316916, 0.1474126388783474, 0.1409336903702534, 0.05242910670896241, 0.11484785458115312]",19,1994,1
"[0.08328970151942022, 0.07031827012500294, 0.13354743666284166, 0.10371882847763438, 0.13110045826742583, 0.15178790026574596, 0.1482770908605868, 0.0781039299590799, 0.13497049504354347]",20,1995,1
"[0.10372771289226257, 0.0513545294627437, 0.12892591882585774, 0.07855731558217349, 0.1580844531789056, 0.1478243873235017, 0.14696186841975883, 0.08188862782647184, 0.13131996396278156]",21,1996,1
"[0.11743847914238252, 0.05509570641337616, 0.13389253205927898, 0.12120789270980863, 0.15188974275274195, 0.14201391831353607, 0.1530535635032341, 0.12403178083734064, 0.1340017105955498]",22,1997,1
"[0.1301241413738019, 0.0542254086518803, 0.12545734860390012, 0.12041693292303163, 0.1296876372142643, 0.14616464828939663, 0.14759797772061903, 0.12295593187754295, 0.14136358071397367]",23,1998,1
"[0.13589035147899253, 0.06054434474515307, 0.1297845704863027, 0.13696734277727649, 0.1273108140492551, 0.14216141284909264, 0.15576247779335103, 0.14261488747219062, 0.12416369932435518]",24,1999,1
"[0.16786078306221613, 0.07858724881836479, 0.13898193649501395, 0.14170723215682424, 0.10821282935828257, 0.1436330071044848, 0.16139068093174597, 0.15226694219152456, 0.14159448786077317]",25,2000,1
"[0.2408994443946308, 0.11994002812101565, 0.14097791197233223, 0.15742896724753355, 0.11271184876471478, 0.12729773280118403, 0.17952408852909904, 0.16996677662694312, 0.16127403202707621]",26,2001,1
"[0.26601449285279444, 0.12203597388883665, 0.1287066129970415, 0.18083660762353734, 0.09852890101382519, 0.12772075189053644, 0.18338109316886028, 0.18128155676542965, 0.17273399108647078]",27,2002,1
"[0.30157278850147, 0.14991015471832092, 0.12958751604812477, 0.16843635276382538, 0.07789498257331307, 0.11853043429762597, 0.217670847865921, 0.14805773021191862, 0.17070186623771014]",28,2003,1
"[0.30285416852484565, 0.17377149349093327, 0.13562877493242773, 0.2370705075248964, 0.0721625119199177, 0.11460250367828109, 0.2269943889545568, 0.22395411012502076, 0.1865578149287914]",29,2004,1
"[0.3318133570531364, 0.1675990215228465, 0.11063924578393056, 0.19602301666624103, 0.05308173855860563, 0.11897404635639577, 0.219535041379224, 0.2518048468302014, 0.1634509513353542]",30,2005,1
"[0.36557772066908595, 0.16409708973890952, 0.1049918470697377, 0.1844825139693592, 0.05265690002688541, 0.11261637728267017, 0.244108028106487, 0.18342775906429415, 0.17103273631380933]",31,2006,1
"[0.27133221994980355, 0.23065436285900778, 0.11257319893147069, 0.232021307145301, 0.06708954000744934, 0.11454242643969008, 0.24540710653493297, 0.2776442093452035, 0.20181526209356565]",32,2007,1
"[0.21277315288153426, 0.274997562321924, 0.11888053076410204, 0.25824071078935174, 0.1069052592132421, 0.11009812531322204, 0.2446096977506856, 0.2570264595752479, 0.1872451503988073]",33,2008,2
"[0.19784507560920742, 0.30293632995346154, 0.11228760469785362, 0.27690004517497036, 0.06202919962872488, 0.10734023193325049, 0.2409815971039306, 0.30669069495076295, 0.16869651079539685]",34,2009,2
"[0.16792485206338492, 0.3258548714246335, 0.11048492011997345, 0.3421080542047286, 0.05440299570553284, 0.10940324039665732, 0.2422779940058374, 0.3391566183541614, 0.1984413063158869]",35,2010,2
"[0.1811230663041546, 0.305651786442923, 0.11761750284169, 0.274064471780463, 0.05228845679950401, 0.10161244147802968, 0.24588504135347009, 0.28889596983703664, 0.17957322274078652]",36,2011,2
"[0.19931866263608947, 0.24500693129684864, 0.11478026714550546, 0.25488571088722606, 0.044348320517214046, 0.09372570729124079, 0.1844452513632463, 0.28522273758863376, 0.1797380048658462]",37,2012,2
"[0.19848576562089526, 0.04707123895514584, 0.11185885949919555, 0.2557494936450542, 0.03520014935643437, 0.1004089072599663, 0.1811543049245745, 0.27728548686506055, 0.17853657872751166]",38,2013,2
"[0.19515417756011846, 0.037728215469000737, 0.11080176535656114, 0.24919290997927515, 0.027993299418945093, 0.09361550829603503, 0.17767591998016777, 0.24835551236580974, 0.18476346610398367]",39,2014,2
